antecedent,consequent,antecedent_str,consequent_str,rule_str,support,confidence,lift,leverage,conviction,antecedent_support,consequent_support
"['Organic Hass Avocados', 'Organic Tortilla Chips', 'Roma Tomatoes']",['Fresh Organic Cilantro'],Organic Hass Avocados + Organic Tortilla Chips + Roma Tomatoes,Fresh Organic Cilantro,Organic Hass Avocados + Organic Tortilla Chips + Roma Tomatoes ➔ Fresh Organic Cilantro,0.0813,0.8513,3.98,0.0609,5.287,0.0955,0.2139
['Fresh Organic Cilantro'],"['Organic Hass Avocados', 'Organic Tortilla Chips', 'Roma Tomatoes']",Fresh Organic Cilantro,Organic Hass Avocados + Organic Tortilla Chips + Roma Tomatoes,Fresh Organic Cilantro ➔ Organic Hass Avocados + Organic Tortilla Chips + Roma Tomatoes,0.0813,0.3801,3.98,0.0609,1.459,0.2139,0.0955
"['Mild Chunky Salsa', 'Organic Tortilla Chips', 'Roma Tomatoes']",['Fresh Limes'],Mild Chunky Salsa + Organic Tortilla Chips + Roma Tomatoes,Fresh Limes,Mild Chunky Salsa + Organic Tortilla Chips + Roma Tomatoes ➔ Fresh Limes,0.0462,0.8767,3.979,0.0346,6.322,0.0527,0.2203
"['Espresso Roast Coffee Beans', 'Salted Creamery Butter']","['Grade A Large Pasture Eggs', 'Organic Whole Milk']",Espresso Roast Coffee Beans + Salted Creamery Butter,Grade A Large Pasture Eggs + Organic Whole Milk,Espresso Roast Coffee Beans + Salted Creamery Butter ➔ Grade A Large Pasture Eggs + Organic Whole Milk,0.0837,0.7736,3.979,0.0627,3.558,0.1082,0.1944
"['Grade A Large Pasture Eggs', 'Organic Whole Milk']","['Espresso Roast Coffee Beans', 'Salted Creamery Butter']",Grade A Large Pasture Eggs + Organic Whole Milk,Espresso Roast Coffee Beans + Salted Creamery Butter,Grade A Large Pasture Eggs + Organic Whole Milk ➔ Espresso Roast Coffee Beans + Salted Creamery Butter,0.0837,0.4306,3.979,0.0627,1.566,0.1944,0.1082
"['Fresh Limes', 'Roma Tomatoes']",['Fresh Organic Cilantro'],Fresh Limes + Roma Tomatoes,Fresh Organic Cilantro,Fresh Limes + Roma Tomatoes ➔ Fresh Organic Cilantro,0.0935,0.8508,3.977,0.07,5.268,0.1099,0.2139
"['Mild Chunky Salsa', 'Organic Hass Avocados']","['Organic Tortilla Chips', 'Roma Tomatoes']",Mild Chunky Salsa + Organic Hass Avocados,Organic Tortilla Chips + Roma Tomatoes,Mild Chunky Salsa + Organic Hass Avocados ➔ Organic Tortilla Chips + Roma Tomatoes,0.0461,0.4382,3.977,0.0345,1.584,0.1052,0.1102
['Fresh Organic Cilantro'],"['Fresh Limes', 'Roma Tomatoes']",Fresh Organic Cilantro,Fresh Limes + Roma Tomatoes,Fresh Organic Cilantro ➔ Fresh Limes + Roma Tomatoes,0.0935,0.4371,3.977,0.07,1.581,0.2139,0.1099
"['Organic Tortilla Chips', 'Roma Tomatoes']","['Mild Chunky Salsa', 'Organic Hass Avocados']",Organic Tortilla Chips + Roma Tomatoes,Mild Chunky Salsa + Organic Hass Avocados,Organic Tortilla Chips + Roma Tomatoes ➔ Mild Chunky Salsa + Organic Hass Avocados,0.0461,0.4183,3.977,0.0345,1.538,0.1102,0.1052
"['Fresh Organic Cilantro', 'Organic Hass Avocados']",['Fresh Limes'],Fresh Organic Cilantro + Organic Hass Avocados,Fresh Limes,Fresh Organic Cilantro + Organic Hass Avocados ➔ Fresh Limes,0.1521,0.8751,3.973,0.1138,6.245,0.1738,0.2203
"['Organic Tortilla Chips', 'Sparkling Mineral Water']",['Fresh Organic Cilantro'],Organic Tortilla Chips + Sparkling Mineral Water,Fresh Organic Cilantro,Organic Tortilla Chips + Sparkling Mineral Water ➔ Fresh Organic Cilantro,0.09,0.8499,3.973,0.0673,5.236,0.1059,0.2139
['Fresh Limes'],"['Fresh Organic Cilantro', 'Organic Hass Avocados']",Fresh Limes,Fresh Organic Cilantro + Organic Hass Avocados,Fresh Limes ➔ Fresh Organic Cilantro + Organic Hass Avocados,0.1521,0.6904,3.973,0.1138,2.669,0.2203,0.1738
['Fresh Organic Cilantro'],"['Organic Tortilla Chips', 'Sparkling Mineral Water']",Fresh Organic Cilantro,Organic Tortilla Chips + Sparkling Mineral Water,Fresh Organic Cilantro ➔ Organic Tortilla Chips + Sparkling Mineral Water,0.09,0.4208,3.973,0.0673,1.544,0.2139,0.1059
"['Fresh Limes', 'Fresh Organic Cilantro', 'Organic Hass Avocados']",['Organic Tortilla Chips'],Fresh Limes + Fresh Organic Cilantro + Organic Hass Avocados,Organic Tortilla Chips,Fresh Limes + Fresh Organic Cilantro + Organic Hass Avocados ➔ Organic Tortilla Chips,0.1342,0.8823,3.969,0.1004,6.608,0.1521,0.2223
['Organic Tortilla Chips'],"['Fresh Limes', 'Fresh Organic Cilantro', 'Organic Hass Avocados']",Organic Tortilla Chips,Fresh Limes + Fresh Organic Cilantro + Organic Hass Avocados,Organic Tortilla Chips ➔ Fresh Limes + Fresh Organic Cilantro + Organic Hass Avocados,0.1342,0.6037,3.969,0.1004,2.139,0.2223,0.1521
"['Extra Virgin Olive Oil', 'Grated Parmesan Cheese', 'Slow-Simmered Marinara']",['72% Dark Chocolate Bar'],Extra Virgin Olive Oil + Grated Parmesan Cheese + Slow-Simmered Marinara,72% Dark Chocolate Bar,Extra Virgin Olive Oil + Grated Parmesan Cheese + Slow-Simmered Marinara ➔ 72% Dark Chocolate Bar,0.0442,0.5262,3.968,0.0331,1.831,0.084,0.1326
"['Fresh Organic Cilantro', 'Mild Chunky Salsa', 'Sparkling Mineral Water']",['Organic Tortilla Chips'],Fresh Organic Cilantro + Mild Chunky Salsa + Sparkling Mineral Water,Organic Tortilla Chips,Fresh Organic Cilantro + Mild Chunky Salsa + Sparkling Mineral Water ➔ Organic Tortilla Chips,0.0468,0.8814,3.965,0.035,6.555,0.0531,0.2223
"['Fresh Organic Cilantro', 'Sparkling Mineral Water']",['Fresh Limes'],Fresh Organic Cilantro + Sparkling Mineral Water,Fresh Limes,Fresh Organic Cilantro + Sparkling Mineral Water ➔ Fresh Limes,0.0909,0.8732,3.964,0.068,6.149,0.1041,0.2203
"['Mild Chunky Salsa', 'Organic Hass Avocados']",['Fresh Organic Cilantro'],Mild Chunky Salsa + Organic Hass Avocados,Fresh Organic Cilantro,Mild Chunky Salsa + Organic Hass Avocados ➔ Fresh Organic Cilantro,0.0892,0.8479,3.964,0.0667,5.169,0.1052,0.2139
['Fresh Organic Cilantro'],"['Mild Chunky Salsa', 'Organic Hass Avocados']",Fresh Organic Cilantro,Mild Chunky Salsa + Organic Hass Avocados,Fresh Organic Cilantro ➔ Mild Chunky Salsa + Organic Hass Avocados,0.0892,0.417,3.964,0.0667,1.535,0.2139,0.1052
['Fresh Limes'],"['Fresh Organic Cilantro', 'Sparkling Mineral Water']",Fresh Limes,Fresh Organic Cilantro + Sparkling Mineral Water,Fresh Limes ➔ Fresh Organic Cilantro + Sparkling Mineral Water,0.0909,0.4126,3.964,0.068,1.525,0.2203,0.1041
"['Fresh Limes', 'Fresh Organic Cilantro']",['Organic Tortilla Chips'],Fresh Limes + Fresh Organic Cilantro,Organic Tortilla Chips,Fresh Limes + Fresh Organic Cilantro ➔ Organic Tortilla Chips,0.1532,0.881,3.963,0.1145,6.533,0.1739,0.2223
['Organic Tortilla Chips'],"['Fresh Limes', 'Fresh Organic Cilantro']",Organic Tortilla Chips,Fresh Limes + Fresh Organic Cilantro,Organic Tortilla Chips ➔ Fresh Limes + Fresh Organic Cilantro,0.1532,0.6892,3.963,0.1145,2.658,0.2223,0.1739
"['Extra Virgin Olive Oil', 'Slow-Simmered Marinara']",['Penne Rigate Pasta'],Extra Virgin Olive Oil + Slow-Simmered Marinara,Penne Rigate Pasta,Extra Virgin Olive Oil + Slow-Simmered Marinara ➔ Penne Rigate Pasta,0.0821,0.8276,3.96,0.0614,4.589,0.0992,0.209
['Penne Rigate Pasta'],"['Extra Virgin Olive Oil', 'Slow-Simmered Marinara']",Penne Rigate Pasta,Extra Virgin Olive Oil + Slow-Simmered Marinara,Penne Rigate Pasta ➔ Extra Virgin Olive Oil + Slow-Simmered Marinara,0.0821,0.3928,3.96,0.0614,1.484,0.209,0.0992
"['Organic Whole Milk', 'Salted Creamery Butter']","['Barista Oat Milk', 'Espresso Roast Coffee Beans']",Organic Whole Milk + Salted Creamery Butter,Barista Oat Milk + Espresso Roast Coffee Beans,Organic Whole Milk + Salted Creamery Butter ➔ Barista Oat Milk + Espresso Roast Coffee Beans,0.0494,0.445,3.959,0.0369,1.599,0.111,0.1124
"['Barista Oat Milk', 'Espresso Roast Coffee Beans']","['Organic Whole Milk', 'Salted Creamery Butter']",Barista Oat Milk + Espresso Roast Coffee Beans,Organic Whole Milk + Salted Creamery Butter,Barista Oat Milk + Espresso Roast Coffee Beans ➔ Organic Whole Milk + Salted Creamery Butter,0.0494,0.4395,3.959,0.0369,1.586,0.1124,0.111
"['Barista Oat Milk', 'Salted Creamery Butter']","['Espresso Roast Coffee Beans', 'Organic Whole Milk']",Barista Oat Milk + Salted Creamery Butter,Espresso Roast Coffee Beans + Organic Whole Milk,Barista Oat Milk + Salted Creamery Butter ➔ Espresso Roast Coffee Beans + Organic Whole Milk,0.0494,0.7554,3.957,0.0369,3.307,0.0654,0.1909
"['Mild Chunky Salsa', 'Organic Hass Avocados', 'Roma Tomatoes']",['Fresh Organic Cilantro'],Mild Chunky Salsa + Organic Hass Avocados + Roma Tomatoes,Fresh Organic Cilantro,Mild Chunky Salsa + Organic Hass Avocados + Roma Tomatoes ➔ Fresh Organic Cilantro,0.0475,0.8452,3.951,0.0355,5.078,0.0562,0.2139
"['Organic Whole Milk', 'Salted Creamery Butter']","['Barista Oat Milk', 'Grade A Large Pasture Eggs']",Organic Whole Milk + Salted Creamery Butter,Barista Oat Milk + Grade A Large Pasture Eggs,Organic Whole Milk + Salted Creamery Butter ➔ Barista Oat Milk + Grade A Large Pasture Eggs,0.0495,0.4459,3.946,0.037,1.601,0.111,0.113
"['Barista Oat Milk', 'Grade A Large Pasture Eggs']","['Organic Whole Milk', 'Salted Creamery Butter']",Barista Oat Milk + Grade A Large Pasture Eggs,Organic Whole Milk + Salted Creamery Butter,Barista Oat Milk + Grade A Large Pasture Eggs ➔ Organic Whole Milk + Salted Creamery Butter,0.0495,0.4381,3.946,0.037,1.582,0.113,0.111
"['Fresh Limes', 'Fresh Organic Cilantro', 'Mild Chunky Salsa']",['Organic Tortilla Chips'],Fresh Limes + Fresh Organic Cilantro + Mild Chunky Salsa,Organic Tortilla Chips,Fresh Limes + Fresh Organic Cilantro + Mild Chunky Salsa ➔ Organic Tortilla Chips,0.0791,0.8769,3.945,0.059,6.32,0.0902,0.2223
"['Organic Tortilla Chips', 'Roma Tomatoes']",['Fresh Organic Cilantro'],Organic Tortilla Chips + Roma Tomatoes,Fresh Organic Cilantro,Organic Tortilla Chips + Roma Tomatoes ➔ Fresh Organic Cilantro,0.093,0.8439,3.945,0.0694,5.037,0.1102,0.2139
['Fresh Organic Cilantro'],"['Organic Tortilla Chips', 'Roma Tomatoes']",Fresh Organic Cilantro,Organic Tortilla Chips + Roma Tomatoes,Fresh Organic Cilantro ➔ Organic Tortilla Chips + Roma Tomatoes,0.093,0.4348,3.945,0.0694,1.574,0.2139,0.1102
['Organic Tortilla Chips'],"['Fresh Limes', 'Fresh Organic Cilantro', 'Mild Chunky Salsa']",Organic Tortilla Chips,Fresh Limes + Fresh Organic Cilantro + Mild Chunky Salsa,Organic Tortilla Chips ➔ Fresh Limes + Fresh Organic Cilantro + Mild Chunky Salsa,0.0791,0.3558,3.945,0.059,1.412,0.2223,0.0902
"['Extra Virgin Olive Oil', 'Grated Parmesan Cheese']",['Penne Rigate Pasta'],Extra Virgin Olive Oil + Grated Parmesan Cheese,Penne Rigate Pasta,Extra Virgin Olive Oil + Grated Parmesan Cheese ➔ Penne Rigate Pasta,0.0845,0.8244,3.944,0.0631,4.504,0.1025,0.209
"['Mild Chunky Salsa', 'Organic Hass Avocados']","['Fresh Limes', 'Roma Tomatoes']",Mild Chunky Salsa + Organic Hass Avocados,Fresh Limes + Roma Tomatoes,Mild Chunky Salsa + Organic Hass Avocados ➔ Fresh Limes + Roma Tomatoes,0.0456,0.4335,3.944,0.034,1.571,0.1052,0.1099
"['Fresh Limes', 'Roma Tomatoes']","['Mild Chunky Salsa', 'Organic Hass Avocados']",Fresh Limes + Roma Tomatoes,Mild Chunky Salsa + Organic Hass Avocados,Fresh Limes + Roma Tomatoes ➔ Mild Chunky Salsa + Organic Hass Avocados,0.0456,0.4149,3.944,0.034,1.529,0.1099,0.1052
['Penne Rigate Pasta'],"['Extra Virgin Olive Oil', 'Grated Parmesan Cheese']",Penne Rigate Pasta,Extra Virgin Olive Oil + Grated Parmesan Cheese,Penne Rigate Pasta ➔ Extra Virgin Olive Oil + Grated Parmesan Cheese,0.0845,0.4043,3.944,0.0631,1.507,0.209,0.1025
"['Extra Virgin Olive Oil', 'Penne Rigate Pasta', 'Slow-Simmered Marinara']",['72% Dark Chocolate Bar'],Extra Virgin Olive Oil + Penne Rigate Pasta + Slow-Simmered Marinara,72% Dark Chocolate Bar,Extra Virgin Olive Oil + Penne Rigate Pasta + Slow-Simmered Marinara ➔ 72% Dark Chocolate Bar,0.0429,0.5225,3.941,0.032,1.817,0.0821,0.1326
"['Artisanal Sourdough Bread', 'Extra Virgin Olive Oil']","['Penne Rigate Pasta', 'Slow-Simmered Marinara']",Artisanal Sourdough Bread + Extra Virgin Olive Oil,Penne Rigate Pasta + Slow-Simmered Marinara,Artisanal Sourdough Bread + Extra Virgin Olive Oil ➔ Penne Rigate Pasta + Slow-Simmered Marinara,0.044,0.6103,3.94,0.0328,2.168,0.0721,0.1549
['Madagascar Vanilla Syrup'],"['Espresso Roast Coffee Beans', 'Grade A Large Pasture Eggs', 'Organic Whole Milk']",Madagascar Vanilla Syrup,Espresso Roast Coffee Beans + Grade A Large Pasture Eggs + Organic Whole Milk,Madagascar Vanilla Syrup ➔ Espresso Roast Coffee Beans + Grade A Large Pasture Eggs + Organic Whole Milk,0.0937,0.6571,3.939,0.0699,2.43,0.1426,0.1668
"['Espresso Roast Coffee Beans', 'Grade A Large Pasture Eggs', 'Organic Whole Milk']",['Madagascar Vanilla Syrup'],Espresso Roast Coffee Beans + Grade A Large Pasture Eggs + Organic Whole Milk,Madagascar Vanilla Syrup,Espresso Roast Coffee Beans + Grade A Large Pasture Eggs + Organic Whole Milk ➔ Madagascar Vanilla Syrup,0.0937,0.5618,3.939,0.0699,1.956,0.1668,0.1426
"['Artisanal Sourdough Bread', 'Madagascar Vanilla Syrup']","['Espresso Roast Coffee Beans', 'Grade A Large Pasture Eggs']",Artisanal Sourdough Bread + Madagascar Vanilla Syrup,Espresso Roast Coffee Beans + Grade A Large Pasture Eggs,Artisanal Sourdough Bread + Madagascar Vanilla Syrup ➔ Espresso Roast Coffee Beans + Grade A Large Pasture Eggs,0.0574,0.7368,3.936,0.0428,3.089,0.0779,0.1872
"['Fresh Organic Cilantro', 'Mild Chunky Salsa']",['Organic Tortilla Chips'],Fresh Organic Cilantro + Mild Chunky Salsa,Organic Tortilla Chips,Fresh Organic Cilantro + Mild Chunky Salsa ➔ Organic Tortilla Chips,0.0886,0.8746,3.934,0.0661,6.203,0.1013,0.2223
"['Artisanal Sourdough Bread', 'Madagascar Vanilla Syrup']","['Espresso Roast Coffee Beans', 'Organic Whole Milk']",Artisanal Sourdough Bread + Madagascar Vanilla Syrup,Espresso Roast Coffee Beans + Organic Whole Milk,Artisanal Sourdough Bread + Madagascar Vanilla Syrup ➔ Espresso Roast Coffee Beans + Organic Whole Milk,0.0585,0.751,3.934,0.0436,3.249,0.0779,0.1909
"['Organic Baby Spinach', 'Roma Tomatoes', 'Sparkling Mineral Water']",['Roasted Salted Almonds'],Organic Baby Spinach + Roma Tomatoes + Sparkling Mineral Water,Roasted Salted Almonds,Organic Baby Spinach + Roma Tomatoes + Sparkling Mineral Water ➔ Roasted Salted Almonds,0.041,0.491,3.934,0.0306,1.72,0.0835,0.1248
['Organic Tortilla Chips'],"['Fresh Organic Cilantro', 'Mild Chunky Salsa']",Organic Tortilla Chips,Fresh Organic Cilantro + Mild Chunky Salsa,Organic Tortilla Chips ➔ Fresh Organic Cilantro + Mild Chunky Salsa,0.0886,0.3986,3.934,0.0661,1.494,0.2223,0.1013
"['Madagascar Vanilla Syrup', 'Organic Whole Milk']","['Artisanal Sourdough Bread', 'Espresso Roast Coffee Beans']",Madagascar Vanilla Syrup + Organic Whole Milk,Artisanal Sourdough Bread + Espresso Roast Coffee Beans,Madagascar Vanilla Syrup + Organic Whole Milk ➔ Artisanal Sourdough Bread + Espresso Roast Coffee Beans,0.0585,0.4958,3.932,0.0436,1.733,0.118,0.1261
"['Artisanal Sourdough Bread', 'Espresso Roast Coffee Beans']","['Madagascar Vanilla Syrup', 'Organic Whole Milk']",Artisanal Sourdough Bread + Espresso Roast Coffee Beans,Madagascar Vanilla Syrup + Organic Whole Milk,Artisanal Sourdough Bread + Espresso Roast Coffee Beans ➔ Madagascar Vanilla Syrup + Organic Whole Milk,0.0585,0.4639,3.932,0.0436,1.645,0.1261,0.118
"['Organic Hass Avocados', 'Organic Tortilla Chips']",['Fresh Limes'],Organic Hass Avocados + Organic Tortilla Chips,Fresh Limes,Organic Hass Avocados + Organic Tortilla Chips ➔ Fresh Limes,0.1502,0.8657,3.93,0.112,5.806,0.1735,0.2203
['Fresh Limes'],"['Organic Hass Avocados', 'Organic Tortilla Chips']",Fresh Limes,Organic Hass Avocados + Organic Tortilla Chips,Fresh Limes ➔ Organic Hass Avocados + Organic Tortilla Chips,0.1502,0.6818,3.93,0.112,2.597,0.2203,0.1735
"['Fresh Limes', 'Mild Chunky Salsa', 'Organic Hass Avocados']",['Organic Tortilla Chips'],Fresh Limes + Mild Chunky Salsa + Organic Hass Avocados,Organic Tortilla Chips,Fresh Limes + Mild Chunky Salsa + Organic Hass Avocados ➔ Organic Tortilla Chips,0.0779,0.8733,3.929,0.0581,6.139,0.0892,0.2223
"['Fresh Organic Cilantro', 'Mild Chunky Salsa', 'Organic Hass Avocados']",['Organic Tortilla Chips'],Fresh Organic Cilantro + Mild Chunky Salsa + Organic Hass Avocados,Organic Tortilla Chips,Fresh Organic Cilantro + Mild Chunky Salsa + Organic Hass Avocados ➔ Organic Tortilla Chips,0.0779,0.8733,3.929,0.0581,6.139,0.0892,0.2223
['Organic Tortilla Chips'],"['Fresh Limes', 'Mild Chunky Salsa', 'Organic Hass Avocados']",Organic Tortilla Chips,Fresh Limes + Mild Chunky Salsa + Organic Hass Avocados,Organic Tortilla Chips ➔ Fresh Limes + Mild Chunky Salsa + Organic Hass Avocados,0.0779,0.3504,3.929,0.0581,1.402,0.2223,0.0892
['Organic Tortilla Chips'],"['Fresh Organic Cilantro', 'Mild Chunky Salsa', 'Organic Hass Avocados']",Organic Tortilla Chips,Fresh Organic Cilantro + Mild Chunky Salsa + Organic Hass Avocados,Organic Tortilla Chips ➔ Fresh Organic Cilantro + Mild Chunky Salsa + Organic Hass Avocados,0.0779,0.3504,3.929,0.0581,1.402,0.2223,0.0892
"['Fresh Limes', 'Mild Chunky Salsa', 'Sparkling Mineral Water']",['Organic Tortilla Chips'],Fresh Limes + Mild Chunky Salsa + Sparkling Mineral Water,Organic Tortilla Chips,Fresh Limes + Mild Chunky Salsa + Sparkling Mineral Water ➔ Organic Tortilla Chips,0.0459,0.8726,3.925,0.0342,6.106,0.0526,0.2223
"['Organic Hass Avocados', 'Organic Tortilla Chips', 'Sparkling Mineral Water']",['Fresh Limes'],Organic Hass Avocados + Organic Tortilla Chips + Sparkling Mineral Water,Fresh Limes,Organic Hass Avocados + Organic Tortilla Chips + Sparkling Mineral Water ➔ Fresh Limes,0.0793,0.8648,3.925,0.0591,5.766,0.0917,0.2203
['Fresh Limes'],"['Organic Hass Avocados', 'Organic Tortilla Chips', 'Sparkling Mineral Water']",Fresh Limes,Organic Hass Avocados + Organic Tortilla Chips + Sparkling Mineral Water,Fresh Limes ➔ Organic Hass Avocados + Organic Tortilla Chips + Sparkling Mineral Water,0.0793,0.36,3.925,0.0591,1.419,0.2203,0.0917
"['Artisanal Sourdough Bread', 'Grated Parmesan Cheese']",['72% Dark Chocolate Bar'],Artisanal Sourdough Bread + Grated Parmesan Cheese,72% Dark Chocolate Bar,Artisanal Sourdough Bread + Grated Parmesan Cheese ➔ 72% Dark Chocolate Bar,0.0542,0.5197,3.919,0.0404,1.806,0.1043,0.1326
['72% Dark Chocolate Bar'],"['Artisanal Sourdough Bread', 'Grated Parmesan Cheese']",72% Dark Chocolate Bar,Artisanal Sourdough Bread + Grated Parmesan Cheese,72% Dark Chocolate Bar ➔ Artisanal Sourdough Bread + Grated Parmesan Cheese,0.0542,0.4087,3.919,0.0404,1.515,0.1326,0.1043
"['72% Dark Chocolate Bar', 'Extra Virgin Olive Oil']",['Slow-Simmered Marinara'],72% Dark Chocolate Bar + Extra Virgin Olive Oil,Slow-Simmered Marinara,72% Dark Chocolate Bar + Extra Virgin Olive Oil ➔ Slow-Simmered Marinara,0.05,0.7886,3.918,0.0372,3.779,0.0634,0.2013
['Sea Salt Kettle Chips'],['Creamy Peanut Butter'],Sea Salt Kettle Chips,Creamy Peanut Butter,Sea Salt Kettle Chips ➔ Creamy Peanut Butter,0.0762,0.6507,3.913,0.0567,2.387,0.1171,0.1663
['Creamy Peanut Butter'],['Sea Salt Kettle Chips'],Creamy Peanut Butter,Sea Salt Kettle Chips,Creamy Peanut Butter ➔ Sea Salt Kettle Chips,0.0762,0.4582,3.913,0.0567,1.63,0.1663,0.1171
"['Fresh Limes', 'Mild Chunky Salsa']",['Organic Tortilla Chips'],Fresh Limes + Mild Chunky Salsa,Organic Tortilla Chips,Fresh Limes + Mild Chunky Salsa ➔ Organic Tortilla Chips,0.0878,0.8693,3.911,0.0653,5.951,0.101,0.2223
"['Grade A Large Pasture Eggs', 'Madagascar Vanilla Syrup']","['Artisanal Sourdough Bread', 'Espresso Roast Coffee Beans']",Grade A Large Pasture Eggs + Madagascar Vanilla Syrup,Artisanal Sourdough Bread + Espresso Roast Coffee Beans,Grade A Large Pasture Eggs + Madagascar Vanilla Syrup ➔ Artisanal Sourdough Bread + Espresso Roast Coffee Beans,0.0574,0.4931,3.911,0.0427,1.724,0.1164,0.1261
"['Organic Baby Spinach', 'Sparkling Mineral Water']",['Roasted Salted Almonds'],Organic Baby Spinach + Sparkling Mineral Water,Roasted Salted Almonds,Organic Baby Spinach + Sparkling Mineral Water ➔ Roasted Salted Almonds,0.0472,0.4881,3.911,0.0351,1.71,0.0967,0.1248
"['Artisanal Sourdough Bread', 'Espresso Roast Coffee Beans']","['Grade A Large Pasture Eggs', 'Madagascar Vanilla Syrup']",Artisanal Sourdough Bread + Espresso Roast Coffee Beans,Grade A Large Pasture Eggs + Madagascar Vanilla Syrup,Artisanal Sourdough Bread + Espresso Roast Coffee Beans ➔ Grade A Large Pasture Eggs + Madagascar Vanilla Syrup,0.0574,0.4552,3.911,0.0427,1.622,0.1261,0.1164
['Organic Tortilla Chips'],"['Fresh Limes', 'Mild Chunky Salsa']",Organic Tortilla Chips,Fresh Limes + Mild Chunky Salsa,Organic Tortilla Chips ➔ Fresh Limes + Mild Chunky Salsa,0.0878,0.395,3.911,0.0653,1.486,0.2223,0.101
['Roasted Salted Almonds'],"['Organic Baby Spinach', 'Sparkling Mineral Water']",Roasted Salted Almonds,Organic Baby Spinach + Sparkling Mineral Water,Roasted Salted Almonds ➔ Organic Baby Spinach + Sparkling Mineral Water,0.0472,0.3782,3.911,0.0351,1.453,0.1248,0.0967
"['Fresh Organic Cilantro', 'Organic Hass Avocados', 'Roma Tomatoes']",['Fresh Limes'],Fresh Organic Cilantro + Organic Hass Avocados + Roma Tomatoes,Fresh Limes,Fresh Organic Cilantro + Organic Hass Avocados + Roma Tomatoes ➔ Fresh Limes,0.0824,0.8601,3.904,0.0613,5.574,0.0958,0.2203
['Fresh Limes'],"['Fresh Organic Cilantro', 'Organic Hass Avocados', 'Roma Tomatoes']",Fresh Limes,Fresh Organic Cilantro + Organic Hass Avocados + Roma Tomatoes,Fresh Limes ➔ Fresh Organic Cilantro + Organic Hass Avocados + Roma Tomatoes,0.0824,0.374,3.904,0.0613,1.444,0.2203,0.0958
"['Mild Chunky Salsa', 'Sparkling Mineral Water']",['Fresh Organic Cilantro'],Mild Chunky Salsa + Sparkling Mineral Water,Fresh Organic Cilantro,Mild Chunky Salsa + Sparkling Mineral Water ➔ Fresh Organic Cilantro,0.0531,0.8349,3.903,0.0395,4.762,0.0636,0.2139
"['Fresh Organic Cilantro', 'Roma Tomatoes', 'Sparkling Mineral Water']",['Fresh Limes'],Fresh Organic Cilantro + Roma Tomatoes + Sparkling Mineral Water,Fresh Limes,Fresh Organic Cilantro + Roma Tomatoes + Sparkling Mineral Water ➔ Fresh Limes,0.0502,0.8596,3.902,0.0373,5.553,0.0584,0.2203
"['Extra Virgin Olive Oil', 'Sparkling Mineral Water']",['Roasted Salted Almonds'],Extra Virgin Olive Oil + Sparkling Mineral Water,Roasted Salted Almonds,Extra Virgin Olive Oil + Sparkling Mineral Water ➔ Roasted Salted Almonds,0.047,0.4865,3.899,0.0349,1.705,0.0966,0.1248
['Roasted Salted Almonds'],"['Extra Virgin Olive Oil', 'Sparkling Mineral Water']",Roasted Salted Almonds,Extra Virgin Olive Oil + Sparkling Mineral Water,Roasted Salted Almonds ➔ Extra Virgin Olive Oil + Sparkling Mineral Water,0.047,0.3766,3.899,0.0349,1.449,0.1248,0.0966
"['Fresh Organic Cilantro', 'Organic Hass Avocados', 'Sparkling Mineral Water']",['Organic Tortilla Chips'],Fresh Organic Cilantro + Organic Hass Avocados + Sparkling Mineral Water,Organic Tortilla Chips,Fresh Organic Cilantro + Organic Hass Avocados + Sparkling Mineral Water ➔ Organic Tortilla Chips,0.0788,0.8659,3.895,0.0586,5.801,0.091,0.2223
['Organic Tortilla Chips'],"['Fresh Organic Cilantro', 'Organic Hass Avocados', 'Sparkling Mineral Water']",Organic Tortilla Chips,Fresh Organic Cilantro + Organic Hass Avocados + Sparkling Mineral Water,Organic Tortilla Chips ➔ Fresh Organic Cilantro + Organic Hass Avocados + Sparkling Mineral Water,0.0788,0.3545,3.895,0.0586,1.408,0.2223,0.091
"['Organic Whole Milk', 'Salted Creamery Butter']","['Artisanal Sourdough Bread', 'Espresso Roast Coffee Beans']",Organic Whole Milk + Salted Creamery Butter,Artisanal Sourdough Bread + Espresso Roast Coffee Beans,Organic Whole Milk + Salted Creamery Butter ➔ Artisanal Sourdough Bread + Espresso Roast Coffee Beans,0.0545,0.491,3.894,0.0405,1.717,0.111,0.1261
"['Artisanal Sourdough Bread', 'Espresso Roast Coffee Beans']","['Organic Whole Milk', 'Salted Creamery Butter']",Artisanal Sourdough Bread + Espresso Roast Coffee Beans,Organic Whole Milk + Salted Creamery Butter,Artisanal Sourdough Bread + Espresso Roast Coffee Beans ➔ Organic Whole Milk + Salted Creamery Butter,0.0545,0.4322,3.894,0.0405,1.566,0.1261,0.111
"['Barista Oat Milk', 'Salted Creamery Butter']","['Grade A Large Pasture Eggs', 'Organic Whole Milk']",Barista Oat Milk + Salted Creamery Butter,Grade A Large Pasture Eggs + Organic Whole Milk,Barista Oat Milk + Salted Creamery Butter ➔ Grade A Large Pasture Eggs + Organic Whole Milk,0.0495,0.7569,3.893,0.0368,3.314,0.0654,0.1944
